INPUT:id	INPUT:text	GOLDEN:source
24	Сегодня состоялась консультации начальника ГУМВС Минобороны России генерал-майора Александра Кшимовского с заместителем Генерального секретаря ООН по гуманитарным вопросам – координатора чрезвычайной помощи Марка Лоукока <br> <br>В ходе встречи собеседники обменялись мнениями по гуманитарной ситуации в Сирийской Арабской Республике, а также обсудили вопросы взаимодействия по доставке гуманитарной помощи в зоны деэскалации и освобожденные от боевиков районы <br>на востоке Сирии.	mil
25	Четвероногий представитель службы материально-технического обеспечения авиационного полигона Погоново в Воронежской области провожает убывающих в Липецк	mil
26	"Безопасное лето 2017 <br><br>МВД России обращает внимание родителей, отправляющих детей на отдых о необходимости информирования органов внутренних дел об имеющихся недостатках в организации работы детских оздоровительных учреждений. В Общественном совете при ГУ МВД России по г. Москве работает ""телефон доверия"", по которому можно сообщить сведения о выявленных вами нарушениях. Кроме того, для обращения работает Единый телефон доверия ГУ МВД России по г. Москве. <br> <br>Единый телефон доверия: 8 (495) 694-92-29 (круглосуточно) <br> Телефон Общественного совета при ГУ МВД России по г. Москве: <br>8 (495) 694-91-40 <br> <br>С наступлением лета дети много времени проводят без присмотра взрослых, купаются на водоемах, играют на городских улицах, в связи с чем возрастает опасность несчастных случаев и получения различных травм. Чтобы обеспечить безопасность своих детей, родителям необходимо проводить с детьми разъяснительные беседы, обращать их внимание на правила безопасного поведения на улице и дома, на отдыхе у водоемов и в детских лагерях. <br> <br>Ребенок должен знать и помнить следующее: <br> <br>Не следует уходить далеко от своего дома, двора; <br>Нельзя брать ничего у незнакомых людей на улице, входить вместе с незнакомыми людьми в подъезд или лифт, открывать им дверь квартиры или садиться к незнакомцам в машину; <br>На любые предложения незнакомых людей нужно отвечать отказом и немедленно уходить от них туда, где есть люди, а в случае опасности не бояться звать на помощь; <br>Домой следует возвращаться до наступления темноты; <br>Следует избегать безлюдных мест, оврагов, пустырей, заброшенных домов, сараев, чердаков, подвалов. <br><br>Обязательно снабдите одежду вашего ребенка световозвращающими элементами для того, чтобы ребенок был заметен водителям в темное время суток. Не оставляйте ребёнка одного в квартире с включенными электроприборами, заблокируйте доступ к розеткам, избегайте контакта ребёнка с газовой плитой и спичками. Не оставляйте открытыми оконные и балконные рамы, даже при наличии москитных сеток. Следите, чтобы ваш ребенок не пользовался сомнительной литературой и видеопродукцией. Ограничьте и сделайте подконтрольным общение ребенка в Интернете. Для отдыха на природе выберите тихое, спокойное место, а для купания - неглубокий водоем с пологим и чистым от коряг, водорослей и ила дном. Не теряйте бдительности и следите за купающимся ребёнком непрерывно. <br>Во время оздоровительного отдыха детей в летних лагерях обратите их внимание на сохранность ими личного имущества (сотовые телефоны, фотоаппараты, планшетные компьютеры и пр.), а также проведите с детьми разъяснительные беседы о недопустимости самовольных уходов из лагерей. Не стоит давать им с собой дорогие вещи или технику.<br><br>#МВД #Петровка38 #полиция #безопасность #дети"	mospolice
27	Владимир Колокольцев подписал приказ о награждении сотрудников московской полиции, спасших семью из пожара<br><br>«Министром внутренних дел Российской Федерации генералом полиции Российской Федерации Владимиром Колокольцевым принято решение о награждении медалями МВД России «За смелость во имя спасения» сотрудников Отдела МВД России по району Южное Бутово города Москвы, проявивших мужество и решительность во время пожара в многоквартирном доме на улице Адмирала Лазарева», - сообщила официальный представитель МВД России Ирина Волк. <br> <br>«23 октября сотрудники патрульно-постовой службы младший лейтенант полиции Никита Сечкин, старший сержант полиции Андрей Юрин и старший сержант полиции Сергей Глазунов, прибыв на место пожара, с использованием табельного оружия вскрыли входную дверь охваченной огнем квартиры и спасли детей в возрасте 3 и 11 лет, а также их родителей. <br> <br>Сегодня Министром был подписан приказ о награждении отличившихся сотрудников», - добавила Ирина Волк.<br><br>#police #mvdrussia #МВД #мвдроссии #полиция #полицияроссии #мвд77 #петровка38 #награждение	mospolice
28	Итоги интернет-голосования на сайте Минобороны России за выбор названия для новейшего российского вооружения	mil
29	#БудниМЧС #МЧС #МЧСРОССИИ <br><br>Собака – это коллега. Даже в самый сложный и опасный момент она не струсит, не предаст и обязательно поможет	mchsgov
30	#ПамяткаМЧС #МЧС #МЧСРОССИИ <br><br>Ледовая переправа на автомобиле	mchsgov
31	#МЧС #МЧСРОССИИ<br><br>Около 300 человек вызволили спасатели из снежного плена на Алтае.<br><br>http://www.mchs.gov.ru/dop/info/smi/news/item/33068540/	mchsgov
32	КСОР ОДКБ проведут совместную операцию по уничтожению НВФ в ходе реализации единого замысла оперативно-стратегического учения «Боевое братство-2017» - «Взаимодействие-2017», которое стартует 9 октября и продлится в течение пяти дней на полигонах Баграмян ВС Республики Армения и Алагяз российской военной базы в Армении <br> <br>В тактических действиях будет задействовано около 2 тысяч военнослужащих, более 400 единиц вооружения военной техники и более 20 летательных аппаратов. Среди них: ударные вертолеты Ми-24, штурмовики Су-25, истребители Миг-29, а также реактивные и артиллерийские системы.	mil
33	При прохождении циклона на территории Сахалинской области спасатели МЧС России оказывают помощь землякам, попавшим в беду из-за погоды.<br><br>http://www.mchs.gov.ru/dop/info/smi/news/item/6364628/	mchsgov
34	Большой противолодочный корабль Тихоокеанского флота «Адмирал Трибуц» в акватории Японского моря <br> <br>#Минобороны #ВМФ #ТихоокеанскийФлот #Корабли #БоеваяПодготовка	mil
35	"#КонкурсМЧС <br><br>Друзья, коллеги, мы объявляем о запуске конкурса ""Истории МЧС"".<br> <br>Каждый из нас за время службы или работы сталкивался с необычными историями о министерстве: геройских поступках наших товарищей, интересной технике, которое использует министерство, примечательных правилах безопасности для населения, и просто курьезных случаях.<br><br>Пишите ваши истории в комментариях к этому посту. Самые интересные мы опубликуем в сообществе, а их авторы получат памятные призы."	mchsgov
36	"История знает немало любовных переписок, и одна из них – переписка Владимира Маяковского и Лили Брик. Поэт был страстно влюблен в ""музу русского авангарда"", писал ей сумасшедшие письма и стихи, но она отвечала сдержанно и не всегда однозначно. Возможно, дело в том, что она состояла в браке и любила мужа. Их любовный треугольник просуществовал несколько лет, до конца жизни Маяковского. После себя поэт оставил не только гениальные произведения, но и огромный архив писем: он был деятелен в переписке и часто писал родственникам и друзьям. <br><br>#цитатывеликих"	russianpost
37	Недавно представители одной из крупнейших столичных управляющих компаний попытались отправить в отделении Почты России более 550 заказных писем с поддельными знаками почтовой оплаты.<br><br>Мошенники пошли на хитрость. Поверх фальшивых марок номиналом по 25, 50 и 100 рублей они доклеивали на необходимую для пересылки заказного письма сумму настоящие марки стоимостью в один, три и пять рублей. Таким образом из почти 50 тысяч рублей, которые необходимо было заплатить за отправку писем, компания использовала фальшивые знаки почтовой оплаты на 47 тысяч рублей.<br><br>Сотрудники службы безопасности Почты России своевременно пресекли мошенническую схему и изъяли из доставки отправления, не оплаченные в установленном порядке. Все материалы по данному факту будут переданы в правоохранительные органы для принятия процессуального решения.	russianpost
38	Международные соревнования военных водителей в Сербии<br><br>В международных соревнованиях военных водителей в Сербии лидируют сербская, австрийская и российская команды. Для российских автомобилистов выполнение нормативов затруднено тем, что все упражнения выполняются на иностранных машинах, предоставленных сербской стороной. <br> <br>Участники соревнований выполняли упражнения по парковке и маневры реверсивного движения в ограниченном пространстве, а также параллельную парковку. Наиболее сложным этапом стало движение автомобиля задним ходом в ограниченной колее зигзагообразной формы. <br> <br>#Минобороны #МеждународноеСотрудничество #МеждународныеСоревнования	mil
39	В парке «Патриот» состоялась конференция «Искусственный интеллект: проблемы и пути их решения!» <br> <br>Ребятам рассказали о самых новых и футуристичных разработках, которые раньше были возможны только в фантастических фильмах. <br> <br>50 юнармейцев смогли поучаствовать в конференции, организованной при поддержке [club133441491|Минобороны].	mil
40	В Новосибирске почтили память Героя Советского Союза, знаменитого военного летчика Александра Ивановича Покрышкина. 6 марта исполнилось 105 лет со дня рождения легендарного сибиряка. <br> <br>Памятные торжества прошли у бюста героя. Цветы к памятнику возложили первые лица города и области, ветераны Великой Отечественной войны, юнармейцы и кадеты. <br><br>Александр Иванович Покрышкин родился в Новониколаевске Томской губернии (сейчас – Новосибирск) 6 марта 1913 года (по старому стилю). В возрасте 12 лет увлекся авиацией. В годы Великой Отечественной войны стал прославленным воздушным асом, первым трижды удостоен звания Героя Советского Союза. В 1972 году стал маршалом авиации. За годы войны Александр Покрышкин совершил 650 вылетов, провел 156 воздушных боев, сбил 59 вражеских самолетов лично и шесть в группе.<br><br>#МинобороныРоссии #ВОВ #Герои #Покрышкин	mil
41	В Самаре прошел чемпионат Центрального военного округа по зимнему офицерскому троеборью<br>Офицеры соревновались в стрельбе из пистолета Макарова, плавании на 100, 200 и 300 метров вольным стилем, лыжной гонке на дистанциях 3, 5 и 10 км.<br><br>В общем зачете первое место заняла команда Военной академии материально-технического обеспечения, на втором месте – команда 14-й армии ВВС и ПВО, на третьем – команда Тюменского высшего военно-инженерного командного училища.<br><br>Победители первенства примут участие в чемпионате Вооруженных Сил по зимнему офицерскому троеборью.<br><br>#Минобороны #ЦВО #Спорт #ОфицерскоеТроеборье	mil
42	Два звена многоцелевых истребителей Су-35 совершили перелет с завода-изготовителя в Комсомольске-на-Амуре на аэродром постоянного базирования в Карелии <br> <br>Экипажи пролетели маршрут протяженностью более 8 тыс. километров с тремя дозаправками на оперативных аэродромах Центрального и Восточного военных округов. <br> <br>В ближайшее время экипажи Су-35 приступят к выполнению плановых учебно-тренировочных полетов и заступят на боевое дежурство по охране воздушных рубежей северо-запада России.	mil
43	#МЧС #МЧСРОССИИ<br><br>В Чукотском автономном округе начал работу обновлённый Центр управления в кризисных ситуациях МЧС России.<br><br>http://www.mchs.gov.ru/dop/info/smi/news/item/32962517/	mchsgov
44	Действия передового подразделения #ВДВ России по обнаружению позиций диверсионно-разведывательных групп условного противника в ходе одного из эпизодов совместного учения с бойцами ССО Республики Беларусь	mil
45	#ПамяткаМЧС<br><br>Во многих регионах России установилась теплая погода, что привело к значительному увеличению количества велосипедистов на дорогах. Сотни водителей велосипедов появились на городских улицах и влились в плотный транспортный поток. Но не многие знают правила дорожного движения на этом простом, двухколесном транспорте.	mchsgov
46	Оперативники Московского уголовного розыска задержали подозреваемых в разбойном нападении<br><br>https://youtu.be/dbeMD6zM1vU<br><br>#МВДРоссии #Петровка38 #полиция #новости #разбой	mospolice
47	На Петровке, 38 состоялась церемония закладки капсулы с посланием<br><br>15 июля состоялась торжественная церемония закладки капсулы с посланием потомкам в фундаментальную плиту на месте строительства Центра оперативного управления общественной безопасности города Москвы.<br><br> «Убеждены, что этот проект станет важным шагом в развитии современной, эффективно действующей правоохранительной системы, способной на современном уровне защищать конституционные права и свободы граждан, обеспечивать законность, правопорядок и безопасность москвичей», - говорится в письме, адресованном будущим поколениям.<br><br>Подробности:  https://77.мвд.рф/news/item/8153731/<br><br>#МВД #Петровка38 #полиция #новости	mospolice
48	Друзья, сегодня большой праздник – Рождество Христово. В этот светлый день люди традиционно дарят подарки, радуются жизни и готовятся к веселым рождественским гуляниям. Мы присоединяемся к поздравлениям и хотим пожелать вам счастливого Рождества. Пусть с вами будут близкие и друзья, а праздник пройдет в теплой и радостной компании. <br><br>#ПочтаРоссии #Рождество	russianpost
49	#СоветМЧС #МЧС #МЧСРОССИИ<br><br>Обязательно нужно оставлять своим родственникам, знакомым хотя бы приблизительные координаты мест, где собираетесь рыбачить. И возвращаться на ночлег до наступления темноты! Соблюдение этих простых правил безопасности поможет не допустить трагедии.	mchsgov
